Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Maurice,B,D,C,A,E,C,B,A,E,A,B,E,E,E,D,A,C,C,A,E
Marvin,B,D,C,A,E,A,B,A,E,B,B,E,E,D,D,A,C,C,A,E
Amari,A,A,A,A,E,A,B,A,E,B,B,E,E,D,D,A,C,C,A,E
Benjamin,B,D,C,A,E,A,B,A,E,B,B,E,E,C,C,A,C,C,A,E
Emily,B,D,C,A,E,E,E,E,E,B,B,E,E,D,D,A,C,C,A,E
Renee,D,A,A,B,C,E,E,D,B,D,A,C,B,D,C,B,A,C,D,C
Bella,B,D,C,A,E,A,B,A,E,B,B,E,E,D,D,A,C,C,A,E
Allen,B,D,C,A,E,A,B,A,E,B,B,B,B,D,D,A,C,C,A,E
Ally,D,B,B,E,D,E,A,E,E,B,D,E,A,E,D,A,E,C,E,A
Zebadiah,B,D,C,A,E,A,B,A,E,B,B,B,B,D,D,A,C,C,A,E
Obediah,B,D,C,A,E,A,B,A,E,B,B,B,B,D,D,A,C,C,A,E
Jebediah,D,E,C,B,A,D,A,C,B,E,A,B,E,D,E,B,E,A,B,E
Jedediah,E,E,D,B,D,D,C,B,B,C,B,D,A,B,D,D,B,E,D,A
Zechariah,B,D,C,A,E,A,B,A,E,B,B,E,E,C,C,A,C,C,A,E

